,0
264,5.185663425030027
265,4.585227205482067
266,3.2060438181629927
267,3.125758510451704
268,4.845473908861429
269,7.983194945374473
270,9.305621231956417
271,11.103573113580387
272,12.507959457490989
273,12.55447499756357
274,11.164367798495405
275,10.985184583525102
276,10.571761809953493
277,10.644864773686681
278,10.640559009269019
279,10.93356435064535
280,8.814625880779344
281,9.518215402177246
282,11.483388409516195
283,9.516586874901462
284,9.61235472257932
285,8.626602745130386
286,8.078263097568417
287,6.590031172043015
288,2.879578408492364
289,2.6338773616357325
290,-0.18206628855076162
291,-3.0624785196433915
292,-5.183305634828708
293,-5.863404462426013
294,-7.571675062193107
295,-7.97259684632098
296,-8.90046432218243
297,-7.240660055935019
298,-7.457212895865849
299,-10.555653160541073
300,-12.877407334567021
301,-13.114698583188488
302,-15.459852271726957
303,-15.096246004600168
304,-15.412494925744541
305,-15.601925449710068
306,-17.606455579296075
307,-18.767694070997145
308,-19.65473241132452
309,-18.64837548375696
310,-19.957190524908164
311,-21.264509053323053
312,-22.436950552840038
313,-23.416098508557482
314,-25.000351009965524
315,-25.52991163187241
316,-25.74661580568516
317,-26.846219443731876
318,-28.962746275960924
319,-29.871301722457314
320,-29.37675190656143
321,-28.087823593725975
322,-26.87872936762809
323,-24.479847493170364
324,-23.81893332565097
325,-26.50659105076789
326,-28.363654681498502
327,-28.767950630549027
328,-26.671775057663776
329,-24.139684180811813
330,-24.278784245800697
331,-24.815913079285522
332,-25.094011579916824
333,-22.06033030045903
334,-22.044118826846358
335,-22.493631948320935
336,-19.18118409997151
337,-21.13916593816024
338,-18.275427289718674
339,-19.01604668300121
340,-21.00959719653432
341,-22.01154693925506
342,-21.91761836087008
343,-20.116593191441645
344,-19.892822320159027
345,-21.126779792788554
346,-19.08110250838239
347,-20.006072744955944
348,-16.467255189091887
349,-16.970593688626685
350,-19.82519637422804
351,-21.371149319560253
352,-22.156779432385157
353,-22.607240896182248
354,-23.47502538561748
355,-24.524742564286885
356,-26.515053688990132
357,-24.565777846726206
358,-22.7947189947873
359,-22.528429384836656
360,-24.33915324819026
361,-22.40491710646475
362,-20.01104686730784
363,-19.027874483624164
364,-18.831592449871003
365,-17.806438627298277
366,-16.96416134258871
367,-16.310442490224286
368,-17.554804656288788
