,0
301,-187.80763070071785
302,-188.63129739961278
303,-187.13836096911447
304,-184.3675732937878
305,-185.04138835655598
306,-186.6938212142428
307,-188.03982885034267
308,-188.05789156655598
309,-186.96223172803894
310,-187.7923903403779
311,-185.43781158396385
312,-185.55498809429858
313,-186.00752050808882
314,-188.3199732038235
315,-187.25585245967142
316,-187.3044362341029
317,-189.76658335415223
318,-190.0944323431623
319,-191.92338354706578
320,-192.82475948284429
321,-192.39492575010183
322,-192.55416205431956
323,-190.77669973319527
324,-192.6813813738911
325,-194.09618568017612
326,-195.00931489188167
327,-192.96533106444178
328,-191.18787003493165
329,-193.04024457887306
330,-192.14156489102342
331,-192.98424362498992
332,-195.68882426628167
333,-194.5903794742577
334,-192.4519108676933
335,-192.1268234296367
336,-192.51195012802702
337,-191.73099294208166
338,-194.80652444177537
339,-196.16105809139324
340,-195.96945158320085
341,-193.78051273912476
342,-195.00064684914233
343,-197.00471826526248
344,-194.91270902912203
345,-195.81688881822643
346,-195.30708557189158
347,-195.37689375220765
348,-193.55062846794533
349,-193.00794457152497
350,-193.4014218161378
351,-195.65772520567145
352,-195.65940492473098
353,-194.05723044242987
354,-192.93446050592166
355,-194.37906890199264
356,-197.08144225355719
357,-198.3764503066469
358,-196.99619057380346
359,-197.5479552354098
360,-195.48235753077384
361,-194.21003584633797
362,-194.3567229347629
363,-193.04644179427535
364,-194.17986262959948
365,-193.8583598346244
366,-196.3786910458097
367,-195.7279784762973
368,-196.36558607600415
369,-195.1266194909088
370,-196.54992138271547
371,-198.66841572572073
372,-199.6174639952784
373,-195.383744854279
374,-196.3426987183551
375,-194.6398192669165
376,-195.7711618332846
377,-195.7506537075091
378,-194.05299683336128
379,-195.83018375214934
380,-193.36730949585595
381,-192.59807704768585
382,-191.96178461029908
383,-192.15096828351824
384,-191.73084400603852
385,-194.3555645187394
386,-197.92152195132664
387,-197.3185810662616
388,-198.94208912451856
389,-199.25851441322703
390,-198.74163504954285
391,-199.11943914599985
392,-199.97997414348822
393,-197.10176958958436
394,-196.52420057001072
395,-195.6377124232689
396,-194.03413336191588
397,-195.07665235377604
398,-195.2756887026735
399,-194.84391087662763
400,-194.42653101321565
401,-194.05459951352307
402,-195.96818213079212
403,-196.43895624187851
404,-199.33112654184498
405,-201.4867285856065
406,-200.8394072742788
407,-198.68768094720707
408,-199.05277780902688
409,-197.08733756100818
410,-196.1184916918353
411,-196.7695143245681
412,-192.94007786768202
413,-192.31456106878366
414,-189.53594360642
415,-190.25323793932915
416,-192.7295220162119
417,-190.96744216630043
418,-190.44254643638192
419,-189.55054152085978
420,-188.97441774680325
421,-190.9444332137013
422,-190.7021045677692
423,-190.61363370869753
424,-191.31026701142832
425,-190.4625424833943
426,-191.8955878373437
427,-193.83676661124682
428,-193.83967786202075
429,-191.57583490624313
430,-193.4430492846128
431,-189.55860748446258
432,-186.69403553599716
433,-188.2046689335142
434,-187.76582170064165
435,-187.9286947602974
436,-187.4254445354822
437,-187.42407192665124
438,-185.95738255070955
439,-183.61020922064358
440,-186.11891351998375
441,-185.71015779685345
442,-184.70244152136368
443,-183.07797911877074
444,-183.14124591442723
445,-183.28151531517904
446,-186.78414133906605
447,-186.82528544018652
448,-187.8428886661558
449,-186.76106336221363
450,-187.2097299422702
451,-184.28458118072524
452,-184.25238196512313
453,-184.63859795151077
454,-185.9648694352076
455,-183.28784929135028
456,-179.75516924055822
457,-178.65223483128813
458,-178.72318317488794
459,-180.83682244144464
460,-181.6638809382981
461,-181.93954648006863
462,-181.9712693209431
463,-182.77910998130704
464,-183.03891212693662
465,-184.44015761225685
466,-183.10168653134147
467,-181.66578507645556
468,-181.06667303001737
469,-180.73946059171715
470,-181.7255335583795
471,-180.25610434187493
472,-178.93631259939292
473,-180.32972632976947
474,-178.80791473510274
475,-177.73700104548362
476,-176.97167873816505
477,-177.3611859720907
478,-177.3547202125591
479,-173.83705668090406
480,-173.84437838473733
481,-174.37603487521818
482,-173.25016909446495
483,-175.88015292983636
484,-177.06030280307377
485,-175.3680416367684
486,-174.18570062367104
487,-173.62680644388146
488,-172.3313695150115
489,-173.3548246410251
490,-173.48787905794921
491,-173.47409793182703
492,-174.6485060834131
493,-174.3713941663557
494,-173.5612933248928
495,-173.9740956000552
496,-175.2612214651259
497,-174.505327559722
498,-176.04513885341606
499,-175.64172851499978
500,-175.69402001997136
501,-175.28543828050908
502,-173.1545215629712
503,-172.39283740858016
504,-169.578486864199
505,-166.31627687302927
506,-164.22339402909955
507,-163.90864579639143
508,-162.19954468405564
509,-162.24227532816573
510,-162.02550771910953
511,-162.1208130504658
512,-164.1741102967417
513,-164.3761759388751
514,-164.41861174748774
515,-164.34009578687858
516,-164.27914889385502
517,-163.96850681533522
518,-164.17993023090793
519,-162.181875480279
520,-162.86126575069977
521,-161.07374325608043
522,-160.07595925071394
523,-160.89038250169335
524,-157.33217686518626
525,-155.4168169497289
526,-152.50217168964528
527,-151.96689932040508
528,-152.9100436566221
529,-151.89783756843485
530,-153.30731616483325
531,-153.63918671892088
532,-154.02400287337343
533,-150.99156158282761
534,-151.20417102581933
535,-153.23091774723704
536,-156.88127716567573
537,-157.28539729187776
